code,stock_name,exchange,country
A,Agilent Technologies Inc. Common Stock,NYQ,USA
AACIU,Armada Acquisition Corp. I Unit,NGM,USA
AADI,Aadi Bioscience Inc. Common Stock,NCM,USA
AAIC,Arlington Asset Investment Corp Class A (new),NYQ,USA
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,NYQ,USA
AAL,American Airlines Group Inc. Common Stock,NMS,USA
AAMC,Altisource Asset Management Corp Com,ASE,USA
AAME,Atlantic American Corporation Common Stock,NGM,USA
AAN,Aarons Holdings Company Inc. Common Stock ,NYQ,USA
AAOI,Applied Optoelectronics Inc. Common Stock,NGM,USA
AAON,AAON Inc. Common Stock,NMS,USA
AAP,Advance Auto Parts Inc.,NYQ,USA
AAPL,Apple Inc. Common Stock,NMS,USA
AAT,American Assets Trust Inc. Common Stock,NYQ,USA
AATC,Autoscope Technologies Corporation Common Stock,NCM,USA
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,NMS,USA
AB,AllianceBernstein Holding L.P.  Units,NYQ,USA
ABBV,AbbVie Inc. Common Stock,NYQ,USA
ABC,AmerisourceBergen Corporation Common Stock,NYQ,USA
ABCB,Ameris Bancorp Common Stock,NMS,USA
ABEO,Abeona Therapeutics Inc. Common Stock,NCM,USA
ABG,Asbury Automotive Group Inc Common Stock,NYQ,USA
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,NCM,USA
ABIO,ARCA biopharma Inc. Common Stock,NCM,USA
ABM,ABM Industries Incorporated Common Stock,NYQ,USA
ABMD,ABIOMED Inc. Common Stock,NMS,USA
ABNB,Airbnb Inc. Class A Common Stock,NMS,USA
ABOS,Acumen Pharmaceuticals Inc. Common Stock,NMS,USA
ABR,Arbor Realty Trust Common Stock,NYQ,USA
ABSI,Absci Corporation Common Stock,NMS,USA
ABT,Abbott Laboratories Common Stock,NYQ,USA
ABTX,Allegiance Bancshares Inc. Common Stock,NGM,USA
ABVC,ABVC Biopharma Inc. Common Stock,NCM,USA
AC,Associated Capital Group Inc. Common Stock,NYQ,USA
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NMS,USA
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,NCM,USA
ACAHU,Atlantic Coastal Acquisition Corp. Unit,NCM,USA
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,NCM,USA
ACBI,Atlantic Capital Bancshares Inc. Common Stock,NMS,USA
ACC,American Campus Communities Inc Common Stock,NYQ,USA
ACCD,Accolade Inc. Common Stock,NMS,USA
ACCO,Acco Brands Corporation Common Stock,NYQ,USA
ACEL,Accel Entertainment Inc. ,NYQ,USA
ACER,Acer Therapeutics Inc. Common Stock (DE),NCM,USA
ACET,Adicet Bio Inc. Common Stock ,NGM,USA
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,NCM,USA
